ID,Nama Jurusan,Nama PTN,Fakultas,Lokasi,Akreditasi,Peminat 2024,Daya Tampung SNBP 2025,Daya Tampung SNBT 2025,Rasio Keketatan,Lama Studi Rata-rata (Bulan),Tingkat Kelulusan (%),Maks. Waktu Tunggu Kerja (Bulan),Gaji Awal Min,Gaji Awal Max,Prospek Kerja Utama,Prospek Kerja Alternatif,Kebutuhan Industri,Tingkat Persaingan Kerja,Keterampilan Utama,Tingkat Kesulitan,Sumber Data
1,Ilmu Kesejahteraan Sosial,Universitas Indonesia,FISIP,Depok,Unggul,578,24,36,9.6,42,88,47,4500000,9000000,Pekerja Sosial,Konsultan Sosial,Tinggi,Menengah,Riset Sosial,Sedang,https://www.kompas.com/edu/read/2024/03/01/073730171/daya-tampung-prodi-universitas-indonesia-2024-dan-jumlah-peminat
2,Ilmu Perpustakaan,Universitas Indonesia,FISIP,Depok,Unggul,425,20,30,8.5,41,91,38,4200000,8500000,Pustakawan,Data Manager,Tinggi,Rendah,Pengelolaan Informasi,Rendah,https://www.cnnindonesia.com/nasional/20240527103139-20-1102327/daftar-biaya-kuliah-5-perguruan-tinggi-negeri-tahun-2024-2025
3,Ilmu Sejarah,Universitas Indonesia,FIB,Depok,Unggul,512,22,33,9.3,42,87,55,4000000,8000000,Peneliti Sejarah,Kurator Museum,Menengah,Rendah,Analisis Dokumen,Sedang,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
4,Sastra Jawa,Universitas Indonesia,FIB,Depok,Baik Sekali,175,15,23,4.6,40,89,62,3800000,7500000,Peneliti Budaya,Penerjemah,Menengah,Rendah,Penguasaan Bahasa Daerah,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
5,Pembangunan Sosial dan Kesejahteraan,Universitas Gadjah Mada,FISIPOL,Yogyakarta,Unggul,487,26,39,7.5,41,90,45,4300000,8800000,Pekerja Sosial,Community Developer,Tinggi,Menengah,Pemberdayaan Masyarakat,Sedang,https://ugm.ac.id/en/prodi/bachelor-in-social-development-and-welfare/
6,Antropologi,Universitas Gadjah Mada,FISIPOL,Yogyakarta,Unggul,382,20,30,7.6,42,87,53,4200000,8400000,Antropolog,Konsultan Budaya,Menengah,Rendah,Penelitian Lapangan,Sedang,https://um.ugm.ac.id/uang-kuliah-tunggal-ukt-snbp-dan-snbt-ta-2024-2025/
7,Arkeologi,Universitas Gadjah Mada,FIB,Yogyakarta,Unggul,295,18,27,6.5,43,86,57,4000000,8000000,Arkeolog,Kurator Museum,Menengah,Rendah,Ekskavasi,Sulit,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
8,Ilmu Komunikasi PSDKU Pangandaran,Universitas Padjadjaran,FISIP,Pangandaran,Baik,320,16,24,8.0,41,88,50,4000000,8000000,Public Relations,Digital Marketing,Tinggi,Rendah,Komunikasi,Sedang,https://kampus.republika.co.id/info-kampus/1622914292/Referensi-SNBP-2023-Ini-Daya-Tampung-dan-Peminat-Prodi-Komunikasi-31-PTN-di-Jawa
9,Antropologi,Universitas Padjadjaran,FISIP,Jatinangor,Baik Sekali,348,18,27,7.7,42,87,54,4100000,8200000,Peneliti,Konsultan Sosial Budaya,Menengah,Rendah,Analisis Budaya,Sedang,https://www.kompas.com/edu/read/2023/04/18/095254271/biaya-kuliah-jurusan-hukum-ui-ugm-unpad-unair-ub
10,Ilmu Perpustakaan,Universitas Airlangga,FISIP,Surabaya,Baik Sekali,375,20,30,7.5,41,90,40,4200000,8400000,Pustakawan,Information Manager,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://www.brainacademy.id/blog/jurusan-sepi-peminat-di-unair-undip-ub
